Tytuł,Kategoria,Czas (h),Start,Koniec,Zaplanowane,Koszt,Typ_Kosztu
Bramki A4,Inne,0.0,,,False,72.0,Wspólny
Sky Bridge 721,Atrakcja,4.0,,2026-05-14 16:00:00,False,70.0,Indywidualny
Hloboka Castle,Atrakcja,2.0,2026-05-16 13:00:00,2026-05-16 15:00:00,True,40.0,Indywidualny
Krumlov tour,Atrakcja,2.0,,2026-05-16 12:00:00,False,40.0,Indywidualny
Bastei/bohemian switzerland,Atrakcja,3.5,,,False,10.0,Indywidualny
beherovka museum (12:00),Atrakcja,1.0,,,False,42.0,Indywidualny
zamek loket,Atrakcja,2.0,,,False,21.0,Indywidualny
Krumlov,Nocleg,0.0,,,False,890.0,Wspólny
karlowe wary,Nocleg,0.0,,,False,464.0,Wspólny
winieta czechy,Nocleg,0.0,,,False,54.0,Wspólny
Paliwo: Auto (1700km),Trasa,0.0,,,False,714.0,Paliwo
