Tytuł,Kategoria,Czas (h),Start,Koniec,Zaplanowane,Koszt,Typ_Kosztu
Kraków - Alba Iulia,Trasa,11.0,,2026-07-25 15:00:00,False,0.0,Indywidualny
Salina Turda,Atrakcja,3.0,2026-07-25 16:00:00,2026-07-25 19:00:00,True,40.0,Indywidualny
Kasyno,Atrakcja,1.0,2026-07-26 05:00:00,2026-07-26 06:00:00,True,100.0,Indywidualny
burger king,Odpoczynek,2.0,2026-07-28 13:00:00,2026-07-28 15:00:00,True,30.0,Indywidualny
sex,Atrakcja,1.0,2026-07-29 10:00:00,2026-07-29 11:00:00,True,10.0,Indywidualny
TEST,Atrakcja,1.0,,,False,0.0,Indywidualny
test1,Atrakcja,1.0,2026-07-24 02:00:00,2026-07-24 03:00:00,True,20.0,Indywidualny
Paliwo: BMW (3400km),Trasa,0.0,,,False,1122.0,Paliwo
Paliwo: Citroen SpaceTourer (3400km),Trasa,0.0,,,False,1734.0,Paliwo
Casa Di Mare,Nocleg,0.0,,,False,3700.0,Wspólny
Hillside Guesthouse,Nocleg,0.0,,,False,2600.0,Wspólny
Citroen Wynajem,Wynajem Busa,0.0,,,False,2750.0,Wspólny
